id,Open,Close,High,High Date,Low,Low Date,Mean,Sum,Units,PrevMaxVal,PrevMaxDate,New ATH
ticketprice,252.56,240.94,252.56,2023-04-01,235.87,2023-04-05,242.54,0,DCR,496.5,2023-02-05,
stakepart,64.79,65.05,65.29,2023-04-07,64.55,2023-04-03,65.02,0,%,65.21,2023-03-25,*
ticketpoolval,"9,781,615.19","9,872,231.06","9,882,748.69",2023-04-27,"9,747,831.03",2023-04-03,"9,841,196.26",0,DCR,"9,831,952.12",2023-03-25,*
missedVotes,3,1,8,2023-04-28,0,2023-04-11,3.27,196,votes,128,2016-06-26,
Hashrate,"93,599","75,995","93,599",2023-04-01,"61,828",2023-04-27,"76,991.47",0,TH/s,"595,057",2019-07-23,
TxTfrValAdjNtv,"402,466.79","230,199.31","765,614.09",2023-04-05,"169,348.05",2023-04-18,"457,845.67","13,735,370.11",DCR,"1,535,102.31",2021-02-13,
TxTfrValAdjUSD,"8,077,099.66","4,187,565.08","16,160,394.45",2023-04-16,"3,702,047.62",2023-04-18,"9,307,622.34","279,228,670.07",USD,"258,376,309.02",2021-04-29,
dexVolumeUSD,"54,587.64","22,556.89","54,587.64",2023-04-01,0,2023-04-08,"16,323.56","489,706.84",USD,"11,222,193.49",2021-04-07,
dexVolumeDCR,"2,720","1,240","2,720",2023-04-01,0,2023-04-08,814.67,"24,440",DCR,"61,720",2021-04-07,
feesDCR,0.01,0.01,0.02,2023-04-20,0.00,2023-04-21,0.01,0.32,DCR,426.94,2016-02-09,
txCount,"5,597","5,321","6,076",2023-04-16,"4,386",2023-04-21,"5,152.80","154,584",tx,"11,139",2021-02-16,
blkSize,6.51,5.76,8.95,2023-04-05,4.67,2023-04-21,6.06,181.70,MB,32.39,2022-03-08,
blkchainSize,"10,573.66","10,748.85","10,748.85",2023-04-30,"10,573.66",2023-04-01,"10,663.98",0,MB,"10,567.15",2023-03-31,
PrivacyVol,"446,585.20","381,348.87","501,500.75",2023-04-05,"303,241.45",2023-04-21,"388,654.94","11,659,648.26",DCR,"864,836.92",2023-02-11,
PrivacyVolUSD,"8,962,511.49","6,937,132.85","10,576,887.71",2023-04-05,"5,609,225.20",2023-04-21,"7,867,594.60",0,USD,"138,667,322.97",2016-02-08,
PrivacyMixedPC,61.04,61.81,61.81,2023-04-27,61.04,2023-04-02,61.56,0,%,61.55,2023-01-16,*
PrivacyMixedDCR,"9,215,631.24","9,380,774.52","9,380,774.52",2023-04-30,"9,215,631.24",2023-04-01,"9,318,868.99",0,DCR,"9,216,827.16",2023-03-31,*
NodeCount,166,167,171,2023-04-18,163,2023-04-28,167.17,0,nodes,188,2023-01-24,
treasuryBalanceDCR,"803,491.96","808,085.94","808,085.94",2023-04-30,"803,491.96",2023-04-01,"805,909.24",0,DCR,"804,368.13",2022-07-30,
treasuryBalanceUSD,"16,125,267.65","14,699,924.39","17,600,857.73",2023-04-16,"14,699,924.39",2023-04-30,"16,295,427.91",0,USD,"164,341,901.44",2021-04-16,
lnChannels,351,392,392,2023-04-30,351,2023-04-02,367.72,0,chCount,322,2023-03-18,*
lnNodes,173,192,192,2023-04-30,173,2023-04-02,180.62,0,Nodes,166,2023-03-18,*
lnCapacity,129.16,163.64,163.64,2023-04-30,129.16,2023-04-02,142.42,0,DCR,122.53,2023-03-18,*
