id,Open,Close,High,High Date,Low,Low Date,MoMean,MoMeanChg,MoSum,MoSumChg,PrevMoSum,PrevMoMean,Units,PrevMaxVal,PrevMaxDate,New ATH
treasuryBalanceDCR,"872,071.45","870,871.56","876,364.97",2023-12-19,"868,161.19",2023-12-20,"872,411.14",-0.23,0,0.0,0,"874,398.52",DCR,"878,225.65",2023-11-21,
treasuryBalanceUSD,"12,719,343.15","15,656,769.35","19,712,202.09",2023-12-27,"12,569,601.09",2023-12-05,"13,957,970.76",10.89,0,0.0,0,"12,587,112.05",USD,"164,339,726.84",2021-04-16,
ticketprice,237.89,240.73,243.91,2023-12-13,233.79,2023-12-08,239.17,-5.48,0,0.0,0,253.04,DCR,700.70,2023-10-13,
stakepart,62.52,62.37,62.55,2023-12-03,62.03,2023-12-09,62.37,-0.01,0,0.0,0,62.38,%,65.43,2023-04-07,
ticketpoolval,"9,802,514.44","9,823,038.46","9,823,038.46",2023-12-31,"9,737,582.44",2023-12-09,"9,801,816.66",0.45,0,0.0,0,"9,758,008.36",DCR,"9,895,317.67",2023-05-07,
votesMissed,4,5,13,2023-12-03,2,2023-12-29,6.71,-34.65,208,-32.47,308,10.27,votes,987,2022-05-12,
ticketExpired,7,11,21,2023-12-05,3,2023-12-16,11.42,32.27,354,36.68,259,8.63,tickets,74,2022-06-01,
ticketsRevoked,11,16,31,2023-12-03,11,2023-12-01,18.13,-4.08,562,-0.88,567,18.90,tickets,"1,003",2022-05-12,
votes,"1,446","1,420","1,948",2023-12-21,"1,129",2023-12-09,"1,455.55",4.04,"45,122",7.51,"41,972","1,399.07",votes,"4,807",2023-09-06,
tickets,"1,473","1,389","1,902",2023-12-21,"1,252",2023-12-13,"1,476.55",8.35,"45,773",11.96,"40,882","1,362.73",tickets,"7,166",2016-02-09,
networkhashps,"5,468.61","10,221.14","11,539.07",2023-12-27,"3,849.79",2023-12-09,"6,940.41",-30.67,0,0.0,0,"10,010.14",GH/s,"594,150,473.86",2019-07-23,
TxTfrValAdjNtv,"224,089.27","110,971.71","281,679.45",2023-12-03,"81,861.17",2023-12-16,"148,363.82",9.52,"4,599,278.54",13.17,"4,064,193.95","135,473.13",DCR,"1,535,102.31",2021-02-13,
